t_ms,clip_id,ax,ay,az,gx,gy,gz,label
23941,1,0.963623,-0.024414,0.055054,-0.12207,1.586914,-1.403809,circulos
23951,1,0.964355,-0.031982,0.04834,-0.793457,1.77002,-1.525879,circulos
23970,1,0.982544,-0.047974,0.032959,1.281738,2.319336,0.061035,circulos
23981,1,0.983643,-0.039185,0.022339,1.647949,2.258301,0.610352,circulos
23991,1,0.980469,-0.036377,0.025391,2.01416,2.075195,0.915527,circulos
24001,1,0.978882,-0.039917,0.027954,3.051758,1.831055,1.037598,circulos
24011,1,0.974976,-0.028442,0.03894,1.831055,1.953125,0.549316,circulos
24021,1,0.973999,-0.029297,0.037476,1.89209,2.075195,0.305176,circulos
24031,1,0.979004,-0.035156,0.035522,2.380371,2.319336,-0.061035,circulos
24041,1,0.982666,-0.040894,0.029541,2.13623,2.197266,-0.305176,circulos
24051,1,0.986328,-0.050293,0.025513,1.831055,2.197266,-0.732422,circulos
24061,1,0.989136,-0.064697,0.019165,1.342773,1.77002,-0.12207,circulos
24071,1,0.989258,-0.064087,0.014282,1.525879,1.403809,0.610352,circulos
24081,1,0.98877,-0.060547,0.014526,2.380371,1.403809,1.281738,circulos
24091,1,0.986206,-0.049927,0.020752,2.868652,1.342773,1.708984,circulos
24101,1,0.983887,-0.037354,0.024902,2.197266,0.915527,1.647949,circulos
24111,1,0.982178,-0.031738,0.025757,1.831055,0.854492,0.915527,circulos
24131,1,0.982178,-0.022217,0.026611,2.258301,0.854492,0.549316,circulos
24142,1,0.981934,-0.027954,0.026001,2.685547,0.793457,0.12207,circulos
24152,1,0.982788,-0.042969,0.01709,2.624512,0.976562,-0.549316,circulos
24161,1,0.977173,-0.054443,0.017212,2.441406,1.098633,-1.037598,circulos
24171,1,0.97522,-0.064331,0.0354,1.708984,0.671387,-0.244141,circulos
24181,1,0.963501,-0.03894,0.05249,0.732422,1.159668,-0.366211,circulos
24191,1,0.956421,-0.060181,0.007202,0.793457,1.77002,0.427246,circulos
24201,1,1.002563,-0.050659,-0.004639,1.953125,2.13623,2.075195,circulos
24211,1,0.96167,-0.05542,0.024414,2.441406,0.915527,0.061035,circulos
24222,1,0.97644,-0.05835,0.032715,2.380371,1.098633,0.549316,circulos
24231,1,0.979858,-0.063721,0.02417,2.990723,1.77002,0.854492,circulos
24241,1,0.986328,-0.057983,0.016357,2.01416,1.89209,1.037598,circulos
24251,1,0.984619,-0.058472,0.019165,1.464844,1.403809,0.915527,circulos
24261,1,0.984497,-0.065674,0.031006,2.075195,1.159668,0.915527,circulos
24271,1,0.984985,-0.071655,0.030151,2.01416,1.647949,1.159668,circulos
24281,1,0.981934,-0.064331,0.015137,0.305176,2.197266,1.403809,circulos
24291,1,0.985229,-0.064087,0.005737,0.488281,1.89209,1.647949,circulos
24301,1,0.984497,-0.063232,-0.000122,0.427246,1.708984,2.01416,circulos
24312,1,0.984741,-0.050171,-0.000244,-0.488281,0.976562,2.380371,circulos
24322,1,0.98877,-0.037842,0.002808,-1.159668,0.610352,2.502441,circulos
24332,1,0.986816,-0.052612,0.011963,0.549316,-0.366211,1.89209,circulos
24342,1,0.981445,-0.040894,0.022095,-1.220703,-0.427246,1.647949,circulos
24352,1,0.976929,-0.036377,0.027344,-1.098633,-0.305176,0.976562,circulos
24362,1,0.974121,-0.045166,0.0271,-0.427246,-0.12207,0.793457,circulos
24372,1,0.972046,-0.039185,0.03479,-0.366211,0.0,0.976562,circulos
24382,1,0.972656,-0.041626,0.033447,0.0,0.671387,1.342773,circulos
24392,1,0.969727,-0.043335,0.023804,0.549316,0.854492,1.525879,circulos
24402,1,0.968018,-0.050171,0.023804,0.305176,0.671387,1.403809,circulos
24412,1,0.962402,-0.047729,0.031372,0.0,0.305176,1.159668,circulos
24422,1,0.963623,-0.053223,0.036621,-0.427246,0.427246,1.098633,circulos
24432,1,0.960693,-0.058716,0.043945,-0.671387,0.488281,1.220703,circulos
24442,1,0.964722,-0.053833,0.055542,-0.061035,1.403809,2.319336,circulos
24452,1,0.963135,-0.0448,0.059937,0.305176,1.831055,3.173828,circulos
24462,1,0.96875,-0.035156,0.053467,0.183105,2.197266,3.540039,circulos
24472,1,0.971313,-0.02832,0.043457,-0.671387,2.746582,3.295898,circulos
24482,1,0.974609,-0.015259,0.038818,-1.220703,2.990723,2.441406,circulos
24492,1,0.9823,-0.019165,0.028198,0.366211,2.807617,1.098633,circulos
24502,1,0.988403,-0.029053,0.021729,0.366211,2.685547,0.976562,circulos
24512,1,0.987915,-0.035278,0.019409,0.488281,2.685547,1.220703,circulos
24523,1,0.990601,-0.039307,0.018188,1.403809,2.868652,1.647949,circulos
24532,1,0.992676,-0.042969,0.020386,1.586914,2.685547,2.01416,circulos
24542,1,0.99292,-0.033569,0.026855,1.708984,2.380371,2.197266,circulos
24563,1,0.992676,-0.023926,0.030396,2.13623,2.075195,1.159668,circulos
24573,1,0.99231,-0.029419,0.031128,1.77002,2.075195,0.366211,circulos
24582,1,0.993286,-0.040527,0.033447,2.075195,2.075195,-0.549316,circulos
24592,1,0.993896,-0.057129,0.029175,2.075195,1.953125,-0.732422,circulos
24602,1,0.994019,-0.060791,0.025391,2.075195,1.831055,0.427246,circulos
24612,1,0.995728,-0.053955,0.025269,2.075195,1.647949,0.976562,circulos
24622,1,0.996826,-0.049072,0.020386,1.647949,1.220703,1.220703,circulos
24632,1,0.994995,-0.0448,0.021851,1.159668,0.976562,0.793457,circulos
24642,1,0.996094,-0.037231,0.02478,0.427246,0.976562,0.488281,circulos
24653,1,0.992554,-0.032959,0.021362,0.061035,0.488281,-0.061035,circulos
24663,1,0.988037,-0.039429,0.023804,0.0,0.183105,-0.244141,circulos
24672,1,0.986084,-0.034668,0.0271,0.0,-0.12207,0.12207,circulos
24683,1,0.982178,-0.034302,0.026123,0.915527,-0.244141,0.610352,circulos
24693,1,0.976562,-0.028198,0.028931,1.708984,-0.427246,1.098633,circulos
24703,1,0.977173,-0.027954,0.032471,1.708984,-0.549316,0.854492,circulos
24725,1,0.977783,-0.033325,0.029663,0.305176,0.0,-0.732422,circulos
24734,1,0.978516,-0.035645,0.027466,-0.061035,0.0,-1.098633,circulos
24743,1,0.976562,-0.038574,0.029053,0.488281,-0.366211,-0.915527,circulos
24753,1,0.972534,-0.046265,0.028564,1.708984,-0.610352,-0.366211,circulos
24763,1,0.964478,-0.039185,0.039795,2.563477,-0.488281,0.854492,circulos
24773,1,0.962891,-0.038452,0.040161,2.807617,-0.12207,0.976562,circulos
24783,1,0.963501,-0.038818,0.04187,2.807617,0.244141,0.793457,circulos
24793,1,0.964478,-0.043701,0.042358,2.380371,0.732422,0.427246,circulos
24803,1,0.965454,-0.047119,0.032349,1.953125,1.464844,0.244141,circulos
24813,1,0.964722,-0.048462,0.023926,0.732422,1.464844,0.0,circulos
24823,1,0.963623,-0.058228,0.022949,0.976562,1.586914,0.366211,circulos
24833,1,0.963867,-0.061279,0.023682,1.525879,1.647949,1.281738,circulos
24843,1,0.963989,-0.055908,0.016724,1.953125,1.953125,2.075195,circulos
24853,1,0.965332,-0.04126,0.011475,2.502441,1.89209,2.990723,circulos
24863,1,0.965942,-0.030762,0.009888,2.868652,1.281738,2.197266,circulos
24883,1,0.97522,-0.043457,0.03186,1.586914,2.075195,0.549316,circulos
24893,1,0.978516,-0.048584,0.027954,0.732422,2.746582,-0.12207,circulos
24903,1,0.979858,-0.056519,0.023437,0.183105,2.929688,-0.305176,circulos
24913,1,0.980957,-0.066895,0.017456,0.244141,3.295898,-0.305176,circulos
24923,1,0.982788,-0.070312,0.019653,0.488281,2.624512,1.037598,circulos
24933,1,0.983887,-0.068481,0.020996,0.610352,2.624512,1.464844,circulos
24943,1,0.98584,-0.058716,0.018188,-0.061035,2.380371,1.708984,circulos
24953,1,0.985474,-0.051392,0.024048,-0.183105,2.319336,1.77002,circulos
24963,1,0.987183,-0.047241,0.027832,0.12207,2.01416,1.89209,circulos
24973,1,0.990723,-0.043335,0.032227,0.0,2.563477,1.953125,circulos
24984,1,0.996582,-0.032349,0.019409,-0.976562,2.807617,1.708984,circulos
24994,1,0.999634,-0.029053,0.015381,-1.403809,2.380371,1.281738,circulos
25004,1,1.000977,-0.027466,0.01355,-1.037598,1.953125,1.281738,circulos
25014,1,1.001709,-0.025513,0.019165,-0.488281,1.464844,1.159668,circulos
25024,1,1.000488,-0.02124,0.024292,0.488281,1.464844,1.037598,circulos
25045,1,1.046631,-0.001343,-0.001465,2.075195,3.601074,1.342773,circulos
25054,1,0.988647,-0.070435,0.004761,3.601074,2.319336,0.12207,circulos
25064,1,1.004517,-0.022705,0.005615,-1.586914,-0.244141,-0.854492,circulos
25074,1,0.999146,-0.026611,0.009644,-0.915527,-0.427246,-0.549316,circulos
25084,1,0.969482,-0.04834,0.018188,2.746582,-1.953125,0.0,circulos
25094,1,0.989014,-0.032593,0.033936,1.037598,-1.953125,0.0,circulos
25104,1,0.979614,-0.032959,0.039429,0.732422,-2.197266,-0.488281,circulos
25114,1,0.974243,-0.043091,0.042725,1.77002,-1.831055,-0.427246,circulos
25124,1,0.973755,-0.041626,0.042603,1.708984,-1.220703,-0.061035,circulos
25134,1,0.968018,-0.038452,0.042969,1.525879,-1.037598,0.0,circulos
25144,1,0.963867,-0.048584,0.040283,1.586914,-0.915527,-0.061035,circulos
25154,1,0.959717,-0.044556,0.045166,1.708984,-0.671387,-0.305176,circulos
25164,1,0.962158,-0.048096,0.043091,1.89209,-0.244141,-0.610352,circulos
25174,1,0.959595,-0.049805,0.036255,1.342773,-0.183105,-0.915527,circulos
25184,1,0.963135,-0.052124,0.032715,0.793457,-0.183105,-1.220703,circulos
25204,1,0.967773,-0.056519,0.034302,1.159668,0.061035,-0.305176,circulos
25214,1,0.969604,-0.050537,0.032471,1.281738,0.488281,0.12207,circulos
25224,1,0.969849,-0.047974,0.033691,1.831055,0.671387,0.366211,circulos
25234,1,0.968384,-0.043457,0.037476,2.01416,0.793457,0.488281,circulos
25244,1,0.967773,-0.03894,0.024048,2.075195,1.586914,0.793457,circulos
25254,1,0.971069,-0.048706,0.019653,2.380371,1.586914,0.793457,circulos
25264,1,0.97229,-0.050781,0.021362,2.13623,1.403809,0.549316,circulos
25274,1,0.972534,-0.047607,0.022339,1.220703,1.159668,0.305176,circulos
25284,1,0.973877,-0.047729,0.026245,0.793457,1.098633,0.061035,circulos
25294,1,0.974365,-0.052734,0.024658,1.464844,1.403809,0.244141,circulos
25304,1,0.977661,-0.054321,0.029785,2.13623,1.464844,0.732422,circulos
25314,1,0.97937,-0.056641,0.028076,2.380371,1.525879,1.159668,circulos
25324,1,0.981323,-0.052124,0.02478,2.13623,1.708984,1.403809,circulos
25334,1,0.98291,-0.046997,0.017578,1.403809,1.831055,1.525879,circulos
25345,1,0.985352,-0.046143,0.008423,1.037598,1.89209,1.098633,circulos
25366,1,0.993896,-0.037964,0.015869,0.610352,0.183105,0.793457,circulos
25375,1,0.992065,-0.035522,0.023437,0.915527,-0.183105,0.793457,circulos
25385,1,0.990845,-0.036011,0.026123,1.220703,-0.305176,0.915527,circulos
25395,1,0.985229,-0.037476,0.029419,1.831055,-0.366211,0.671387,circulos
25405,1,0.983765,-0.039551,0.031982,0.976562,0.305176,0.0,circulos
25414,1,0.977051,-0.056152,0.029663,0.915527,0.793457,0.061035,circulos
25425,1,0.975952,-0.062866,0.027344,0.976562,0.915527,0.427246,circulos
25435,1,0.976685,-0.068237,0.020264,1.220703,0.915527,0.976562,circulos
25445,1,0.978149,-0.070679,0.016357,0.854492,0.549316,1.159668,circulos
25455,1,0.977539,-0.061646,0.027466,1.037598,-0.366211,1.281738,circulos
25465,1,0.976685,-0.062744,0.039185,1.159668,-0.061035,1.525879,circulos
25475,1,0.978394,-0.05249,0.027222,0.793457,0.366211,1.708984,circulos
25485,1,0.978027,-0.039917,0.014771,0.061035,0.427246,1.647949,circulos
25495,1,0.977173,-0.038208,0.016235,0.12207,-0.12207,1.220703,circulos
25505,1,0.975708,-0.038574,0.030151,0.183105,-0.366211,0.976562,circulos
25528,1,0.973511,-0.03479,0.045654,0.732422,-0.305176,1.281738,circulos
25537,1,0.971924,-0.030151,0.057007,1.281738,-0.061035,1.342773,circulos
25547,1,0.970337,-0.031738,0.061646,1.464844,0.732422,1.342773,circulos
25556,1,0.969849,-0.033325,0.055298,1.159668,1.342773,0.793457,circulos
25578,1,0.979614,-0.044556,0.026123,0.610352,2.197266,0.244141,circulos
25587,1,0.982056,-0.044189,0.015869,0.488281,1.831055,-0.061035,circulos
25596,1,0.981934,-0.050171,0.016724,0.732422,0.915527,-0.12207,circulos
25605,1,0.978394,-0.054443,0.028931,1.037598,0.488281,0.183105,circulos
25615,1,0.976807,-0.055786,0.03479,1.831055,0.610352,0.915527,circulos
25625,1,0.977051,-0.051025,0.037231,2.319336,1.037598,1.525879,circulos
25635,1,0.979004,-0.036377,0.036255,1.89209,1.342773,1.708984,circulos
25645,1,0.978516,-0.029053,0.040405,1.037598,1.342773,0.854492,circulos
25656,1,0.978149,-0.03186,0.041382,0.671387,1.403809,-0.183105,circulos
25665,1,0.974731,-0.04126,0.041992,0.0,1.464844,-0.976562,circulos
25676,1,0.970337,-0.048706,0.037964,1.281738,1.159668,-0.061035,circulos
25685,1,0.968872,-0.05603,0.039307,2.990723,1.159668,0.732422,circulos
25695,1,0.968628,-0.055664,0.043701,3.662109,1.220703,1.403809,circulos
25706,1,0.966919,-0.052979,0.042847,3.417969,1.525879,1.831055,circulos
25715,1,0.969116,-0.047119,0.037109,3.112793,2.13623,2.01416,circulos
25725,1,0.969971,-0.049194,0.040771,0.549316,2.624512,0.854492,circulos
25736,1,0.973022,-0.059692,0.047974,-0.610352,2.868652,0.549316,circulos
25746,1,0.976318,-0.055908,0.039551,-1.098633,3.051758,0.854492,circulos
25756,1,0.97876,-0.050537,0.032837,-0.549316,2.929688,1.220703,circulos
25766,1,0.980225,-0.048828,0.025513,0.305176,2.624512,1.831055,circulos
25776,1,0.983398,-0.049438,0.025024,2.990723,2.13623,2.624512,circulos
25786,1,0.991821,-0.037964,0.005981,2.685547,2.075195,3.051758,circulos
25796,1,0.992554,-0.025635,0.00354,1.831055,1.831055,2.807617,circulos
25806,1,0.996216,-0.019287,0.012451,0.915527,1.342773,2.075195,circulos
25816,1,0.994995,-0.027466,0.019531,0.549316,0.976562,1.037598,circulos
25826,1,0.992798,-0.033325,0.020508,0.0,0.732422,0.244141,circulos
25836,1,0.984863,-0.046509,0.031372,0.305176,0.244141,0.0,circulos
25846,1,0.98291,-0.057739,0.037476,1.708984,0.0,0.549316,circulos
25856,1,0.980835,-0.058594,0.036743,2.563477,0.12207,1.281738,circulos
25866,1,0.977783,-0.051514,0.03418,2.624512,0.0,1.953125,circulos
25876,1,0.974609,-0.044922,0.030273,2.746582,0.12207,2.441406,circulos
25886,1,0.972778,-0.046631,0.030762,3.112793,0.244141,2.441406,circulos
25896,1,0.966309,-0.043335,0.032837,2.502441,0.305176,2.075195,circulos
25906,1,0.964111,-0.041016,0.04895,1.647949,0.488281,1.281738,circulos
25916,1,0.963989,-0.049561,0.052246,0.732422,0.976562,0.488281,circulos
25926,1,0.9646,-0.052246,0.052246,-0.244141,1.403809,0.366211,circulos
25936,1,0.970825,-0.044312,0.040649,-0.976562,2.01416,1.098633,circulos
25959,1,0.992676,-0.047363,0.001465,2.13623,1.281738,2.258301,circulos
25969,1,0.995361,-0.047729,0.0,3.112793,0.915527,2.746582,circulos
25978,1,0.995361,-0.046509,-0.000732,3.90625,0.549316,2.990723,circulos
25987,1,0.994263,-0.039429,0.000488,3.90625,-0.305176,3.78418,circulos
26009,1,0.983398,-0.027954,0.044922,0.976562,-0.976562,1.647949,circulos
26018,1,0.982178,-0.04187,0.055786,-0.061035,-0.488281,0.488281,circulos
26027,1,0.980957,-0.050903,0.051025,-0.427246,0.427246,-0.183105,circulos
26037,1,0.985107,-0.055176,0.03479,-0.610352,1.098633,-0.12207,circulos
26046,1,0.987305,-0.06543,0.032104,2.624512,0.610352,0.671387,circulos
26056,1,0.994263,-0.062744,0.027344,3.112793,0.366211,1.403809,circulos
26067,1,0.996704,-0.046509,0.017944,2.807617,0.244141,1.831055,circulos
26076,1,0.997803,-0.039063,0.015503,2.319336,0.305176,1.831055,circulos
26087,1,0.997314,-0.032593,0.02124,1.89209,0.183105,0.976562,circulos
26096,1,0.994263,-0.031738,0.029175,0.793457,0.12207,-1.159668,circulos
26120,1,0.984131,-0.054687,0.030884,-1.831055,0.244141,-1.831055,circulos
26129,1,0.981079,-0.053833,0.035645,-1.220703,0.12207,-1.525879,circulos
26138,1,0.982056,-0.055664,0.037354,-0.244141,0.12207,-0.610352,circulos
26147,1,0.981567,-0.055542,0.038574,1.037598,0.061035,0.549316,circulos
26167,1,0.971802,-0.048706,0.053833,0.12207,0.793457,1.098633,circulos
26177,1,0.969604,-0.04834,0.049561,-0.854492,1.403809,0.793457,circulos
26187,1,0.969482,-0.044312,0.037476,-1.098633,1.586914,0.244141,circulos
26197,1,0.973999,-0.045776,0.022461,-0.732422,1.220703,0.0,circulos
26207,1,0.974731,-0.044067,0.02417,0.366211,0.12207,-0.549316,circulos
26217,1,0.981689,-0.046021,0.025757,0.12207,0.12207,-0.671387,circulos
26227,1,0.981812,-0.043945,0.015015,0.12207,0.244141,-0.366211,circulos
26237,1,0.980469,-0.041626,0.016479,0.183105,-0.12207,0.366211,circulos
26247,1,0.973267,-0.039429,0.030029,0.854492,-0.549316,1.037598,circulos
26257,1,0.96814,-0.04126,0.049805,1.281738,-0.549316,1.281738,circulos
26277,1,0.963379,-0.052734,0.071655,-0.244141,1.098633,-0.427246,circulos
26287,1,0.968994,-0.06189,0.065796,0.183105,1.647949,-0.488281,circulos
26297,1,0.971069,-0.060303,0.054199,0.427246,2.01416,0.12207,circulos
26307,1,0.974731,-0.053833,0.042725,0.366211,2.13623,0.915527,circulos
26317,1,0.978027,-0.042725,0.037964,-0.488281,2.258301,0.305176,circulos
26327,1,0.985596,-0.034424,0.020874,-0.671387,2.441406,-0.366211,circulos
26337,1,0.986694,-0.037842,0.011108,-0.244141,2.380371,-0.610352,circulos
26347,1,0.988892,-0.04541,0.005127,0.793457,1.708984,-0.488281,circulos
26357,1,0.989624,-0.047241,0.005981,1.89209,1.342773,-0.061035,circulos
26367,1,0.989258,-0.049805,0.0,1.77002,0.183105,0.12207,circulos
26378,1,0.984497,-0.054565,-0.002197,0.854492,-0.366211,0.061035,circulos
26387,1,0.978638,-0.056641,0.008667,0.854492,-1.159668,0.549316,circulos
26397,1,0.974365,-0.057983,0.011719,1.220703,-1.586914,1.159668,circulos
26407,1,0.970459,-0.061523,0.022095,1.77002,-1.831055,1.708984,circulos
26417,1,0.966675,-0.053345,0.035034,2.624512,-1.89209,2.380371,circulos
26438,1,0.958862,-0.041138,0.068726,1.953125,-1.464844,2.563477,circulos
26448,1,0.959839,-0.039673,0.06958,1.098633,-0.732422,2.319336,circulos
26457,1,0.964233,-0.036377,0.061035,0.549316,0.305176,2.258301,circulos
26467,1,0.96936,-0.039673,0.046997,0.854492,0.854492,1.953125,circulos
26477,1,0.973877,-0.03479,0.038818,0.366211,0.610352,1.525879,circulos
26487,1,0.984131,-0.036377,0.049805,0.671387,0.488281,1.037598,circulos
26498,1,0.989502,-0.046509,0.055664,0.549316,0.976562,0.183105,circulos
26508,1,0.994019,-0.049438,0.047852,-0.671387,1.89209,-0.305176,circulos
26518,1,0.995972,-0.05249,0.034302,-1.525879,2.380371,-0.488281,circulos
26528,1,0.999878,-0.060913,0.022339,-0.732422,1.464844,0.610352,circulos
26538,1,0.99646,-0.046143,0.041748,-0.793457,1.098633,1.098633,circulos
26548,1,0.995483,-0.041748,0.039917,-0.183105,1.037598,1.037598,circulos
26558,1,0.990967,-0.039795,0.037109,-0.061035,1.037598,0.732422,circulos
26568,1,0.988892,-0.035278,0.037476,-0.671387,0.976562,0.366211,circulos
26578,1,0.988281,-0.037354,0.038452,-0.732422,0.671387,0.061035,circulos
26588,1,0.991211,-0.025269,0.038696,-1.586914,0.488281,-0.305176,circulos
26598,1,0.991699,-0.027466,0.029175,-1.953125,0.488281,-0.976562,circulos
26608,1,0.990967,-0.028564,0.022949,-0.915527,0.366211,-1.342773,circulos
26619,1,0.992187,-0.037598,0.020508,0.244141,-0.12207,-1.281738,circulos
26629,1,0.989014,-0.048096,0.022095,1.464844,-0.732422,-0.793457,circulos
26638,1,0.984131,-0.054077,0.032837,1.098633,-1.281738,0.0,circulos
26648,1,0.97229,-0.066284,0.02832,0.854492,-1.403809,-0.12207,circulos
26658,1,0.964355,-0.069824,0.043579,0.427246,-1.77002,-0.061035,circulos
26668,1,0.958862,-0.063965,0.064697,-0.305176,-1.953125,0.427246,circulos
26678,1,0.95459,-0.060181,0.077271,-0.305176,-1.464844,0.915527,circulos
26689,1,0.952515,-0.050171,0.084351,0.976562,0.305176,1.586914,circulos
26698,1,0.956299,-0.01709,0.073608,1.220703,1.159668,1.831055,circulos
26708,1,0.956543,-0.017944,0.073853,1.708984,1.953125,1.281738,circulos
26718,1,0.958618,-0.020386,0.072266,1.159668,2.258301,0.0,circulos
26728,1,0.961426,-0.026245,0.069824,-0.183105,2.929688,-1.342773,circulos
26738,1,0.965454,-0.035645,0.055298,-0.671387,3.662109,-2.13623,circulos
26748,1,0.969971,-0.058472,0.057251,-0.244141,4.516602,-2.685547,circulos
26758,1,0.973022,-0.071411,0.045166,0.549316,4.577637,-1.953125,circulos
26768,1,0.973022,-0.071167,0.042969,1.281738,4.699707,-1.220703,circulos
26778,1,0.96936,-0.062256,0.039551,1.403809,4.333496,-0.427246,circulos
26789,1,0.971802,-0.059326,0.038208,1.403809,4.272461,-0.183105,circulos
26799,1,0.972534,-0.063232,0.03479,-0.183105,4.150391,-1.281738,circulos
26809,1,0.977051,-0.058472,0.031128,-1.220703,3.90625,-1.953125,circulos
26819,1,0.980469,-0.071289,0.036743,-1.403809,3.356934,-2.319336,circulos
26829,1,0.980835,-0.076904,0.039795,-0.610352,2.868652,-1.831055,circulos
